,구인,구직,구인배수,취업자수,취업률
201803월,"161,055","268,960",0.6,"75,124",27.9
201804월,"132,298","228,857",0.58,"67,013",29.3
201805월,"130,283","218,862",0.6,"58,237",26.6
201806월,"139,032","219,093",0.63,"56,985",26
201807월,"128,378","236,747",0.54,"59,263",25
201808월,"132,207","214,040",0.62,"53,622",25.1
201809월,"110,239","186,805",0.59,"52,009",27.8
201810월,"132,783","227,062",0.58,"53,698",23.6
201811월,"118,054","204,786",0.58,"56,837",27.8
201812월,"114,236","203,032",0.56,"47,332",23.3
201901월,"117,502","305,090",0.39,"61,668",20.2
201902월,"103,058","208,145",0.5,"48,615",23.4
201903월,"126,983","262,698",0.48,"76,831",29.2
201904월,"120,337","240,592",0.5,"67,359",28
201905월,"113,868","217,896",0.52,"60,065",27.6
201906월,"110,306","219,205",0.5,"55,513",25.3
201907월,"112,095","248,714",0.45,"62,550",25.1
201908월,"103,620","207,994",0.5,"53,895",25.9
201909월,"112,073","205,496",0.55,"51,702",25.2
201910월,"110,837","229,847",0.48,"58,370",25.4
201911월,"109,407","216,152",0.51,"54,908",25.4
201912월,"111,859","225,596",0.5,"47,806",21.2
202001월,"109,209","302,518",0.36,"55,405",18.3
202002월,"112,935","244,566",0.46,"60,175",24.6
202003월,"97,697","292,051",0.33,"64,645",22.1
202004월,"78,549","266,717",0.29,"56,940",21.3
